date,isin,issue date,maturity date,coupon,historical close price,,,
2021-01-20,CA135087B451,2013-07-02,2024-06-01,2.500%,107.5,,,
2021-01-21,CA135087B451,2013-07-02,2024-06-01,2.500%,107.46,,,
2021-01-22,CA135087B451,2013-07-02,2024-06-01,2.500%,107.47,,,
2021-01-25,CA135087B451,2013-07-02,2024-06-01,2.500%,107.46,,,
2021-01-26,CA135087B451,2013-07-02,2024-06-01,2.500%,107.47,,,
2021-01-27,CA135087B451,2013-07-02,2024-06-01,2.500%,107.53,,,
2021-01-28,CA135087B451,2013-07-02,2024-06-01,2.500%,107.48,,,
2021-01-29,CA135087B451,2013-07-02,2024-06-01,2.500%,107.48,,,
2021-01-18,CA135087D507,2014-06-30,2025-06-01,2.250%,108.15,,,
2021-01-19,CA135087D507,2014-06-30,2025-06-01,2.250%,108.14,,,
2021-01-20,CA135087D507,2014-06-30,2025-06-01,2.250%,108.12,,,
2021-01-21,CA135087D507,2014-06-30,2025-06-01,2.250%,108.03,,,
2021-01-22,CA135087D507,2014-06-30,2025-06-01,2.250%,108.08,,,
2021-01-25,CA135087D507,2014-06-30,2025-06-01,2.250%,108.15,,,
2021-01-26,CA135087D507,2014-06-30,2025-06-01,2.250%,108.12,,,
2021-01-27,CA135087D507,2014-06-30,2025-06-01,2.250%,108.2,,,
2021-01-28,CA135087D507,2014-06-30,2025-06-01,2.250%,108.11,,,
2021-01-29,CA135087D507,2014-06-30,2025-06-01,2.250%,108.1,,,
2021-01-18,CA135087E679,2015-07-21,2026-06-01,1.500%,105.59,,,
2021-01-19,CA135087E679,2015-07-21,2026-06-01,1.500%,105.57,,,
2021-01-20,CA135087E679,2015-07-21,2026-06-01,1.500%,105.51,,,
2021-01-21,CA135087E679,2015-07-21,2026-06-01,1.500%,105.37,,,
2021-01-22,CA135087E679,2015-07-21,2026-06-01,1.500%,105.4,,,
2021-01-25,CA135087E679,2015-07-21,2026-06-01,1.500%,105.5,,,
2021-01-26,CA135087E679,2015-07-21,2026-06-01,1.500%,105.47,,,
2021-01-27,CA135087E679,2015-07-21,2026-06-01,1.500%,105.56,,,
2021-01-28,CA135087E679,2015-07-21,2026-06-01,1.500%,105.46,,,
2021-01-29,CA135087E679,2015-07-21,2026-06-01,1.500%,105.44,,,
2021-01-18,CA135087F825,2016-08-03,2027-06-01,1.000%,102.99,,,
2021-01-19,CA135087F825,2016-08-03,2027-06-01,1.000%,102.97,,,
2021-01-20,CA135087F825,2016-08-03,2027-06-01,1.000%,102.89,,,
2021-01-21,CA135087F825,2016-08-03,2027-06-01,1.000%,102.72,,,
2021-01-22,CA135087F825,2016-08-03,2027-06-01,1.000%,102.8,,,
2021-01-25,CA135087F825,2016-08-03,2027-06-01,1.000%,102.98,,,
2021-01-26,CA135087F825,2016-08-03,2027-06-01,1.000%,102.91,,,
2021-01-27,CA135087F825,2016-08-03,2027-06-01,1.000%,103.02,,,
2021-01-28,CA135087F825,2016-08-03,2027-06-01,1.000%,102.91,,,
2021-01-29,CA135087F825,2016-08-03,2027-06-01,1.000%,102.85,,,
2021-01-18,CA135087H235,2017-08-01,2028-06-01,2.000%,109.97,,,
2021-01-19,CA135087H235,2017-08-01,2028-06-01,2.000%,110.06,,,
2021-01-20,CA135087H235,2017-08-01,2028-06-01,2.000%,109.94,,,
2021-01-21,CA135087H235,2017-08-01,2028-06-01,2.000%,109.65,,,
2021-01-22,CA135087H235,2017-08-01,2028-06-01,2.000%,109.7,,,
2021-01-25,CA135087H235,2017-08-01,2028-06-01,2.000%,110.03,,,
2021-01-26,CA135087H235,2017-08-01,2028-06-01,2.000%,109.92,,,
2021-01-27,CA135087H235,2017-08-01,2028-06-01,2.000%,110.07,,,
2021-01-28,CA135087H235,2017-08-01,2028-06-01,2.000%,109.91,,,
2021-01-29,CA135087H235,2017-08-01,2028-06-01,2.000%,109.82,,,
2021-01-18,CA135087J397,2018-07-27,2029-06-01,2.250%,112.59,,,
2021-01-19,CA135087J397,2018-07-27,2029-06-01,2.250%,112.61,,,
2021-01-20,CA135087J397,2018-07-27,2029-06-01,2.250%,112.43,,,
2021-01-21,CA135087J397,2018-07-27,2029-06-01,2.250%,112.11,,,
2021-01-22,CA135087J397,2018-07-27,2029-06-01,2.250%,112.27,,,
2021-01-25,CA135087J397,2018-07-27,2029-06-01,2.250%,112.62,,,
2021-01-26,CA135087J397,2018-07-27,2029-06-01,2.250%,112.5,,,
2021-01-27,CA135087J397,2018-07-27,2029-06-01,2.250%,112.7,,,
2021-01-28,CA135087J397,2018-07-27,2029-06-01,2.250%,112.49,,,
2021-01-29,CA135087J397,2018-07-27,2029-06-01,2.250%,112.41,,,
2021-01-18,CA135087K940,2020-04-03,2025-09-01,0.500%,100.33,,,
2021-01-19,CA135087K940,2020-04-03,2025-09-01,0.500%,100.32,,,
2021-01-20,CA135087K940,2020-04-03,2025-09-01,0.500%,100.3,,,
2021-01-21,CA135087K940,2020-04-03,2025-09-01,0.500%,100.22,,,
2021-01-22,CA135087K940,2020-04-03,2025-09-01,0.500%,100.27,,,
2021-01-25,CA135087K940,2020-04-03,2025-09-01,0.500%,100.37,,,
2021-01-26,CA135087K940,2020-04-03,2025-09-01,0.500%,100.33,,,
2021-01-27,CA135087K940,2020-04-03,2025-09-01,0.500%,100.42,,,
2021-01-28,CA135087K940,2020-04-03,2025-09-01,0.500%,100.35,,,
2021-01-29,CA135087K940,2020-04-03,2025-09-01,0.500%,100.33,,,
2021-01-18,CA135087L443,2020-10-05,2030-12-01,0.500%,96.52,,,
2021-01-19,CA135087L443,2020-10-05,2030-12-01,0.500%,96.54,,,
2021-01-20,CA135087L443,2020-10-05,2030-12-01,0.500%,96.32,,,
2021-01-21,CA135087L443,2020-10-05,2030-12-01,0.500%,95.97,,,
2021-01-22,CA135087L443,2020-10-05,2030-12-01,0.500%,96.14,,,
2021-01-25,CA135087L443,2020-10-05,2030-12-01,0.500%,96.52,,,
2021-01-26,CA135087L443,2020-10-05,2030-12-01,0.500%,96.38,,,
2021-01-27,CA135087L443,2020-10-05,2030-12-01,0.500%,96.61,,,
2021-01-28,CA135087L443,2020-10-05,2030-12-01,0.500%,96.44,,,
2021-01-29,CA135087L443,2020-10-05,2030-12-01,0.500%,96.37,,,
2021-01-18,CA135087L690,2020-10-16,2024-04-01,0.250%,99.91,,,
2021-01-19,CA135087L690,2020-10-16,2024-04-01,0.250%,99.95,,,
2021-01-20,CA135087L690,2020-10-16,2024-04-01,0.250%,99.92,,,
2021-01-21,CA135087L690,2020-10-16,2024-04-01,0.250%,99.9,,,
2021-01-22,CA135087L690,2020-10-16,2024-04-01,0.250%,99.92,,,
2021-01-25,CA135087L690,2020-10-16,2024-04-01,0.250%,99.91,,,
2021-01-26,CA135087L690,2020-10-16,2024-04-01,0.250%,99.92,,,
